wage_per_hour,union,education_yrs,experience_yrs,age,female,marr,south,manufacturing,construction
5.1,0,8,21,35,1,1,0,1,0
4.95,0,9,42,57,1,1,0,1,0
6.67,0,12,1,19,0,0,0,1,0
4,0,12,4,22,0,0,0,0,0
7.5,0,12,17,35,0,1,0,0,0
13.07,1,13,9,28,0,0,0,0,0
4.45,0,10,27,43,0,0,1,0,0
19.47,0,12,9,27,0,0,0,0,0
13.28,0,16,11,33,0,1,0,1,0
8.75,0,12,9,27,0,0,0,0,0
11.35,1,12,17,35,0,1,0,0,0
11.5,1,12,19,37,0,0,0,1,0
6.5,0,8,27,41,0,1,1,0,0
6.25,1,9,30,45,0,0,1,0,0
19.98,0,9,29,44,0,1,1,0,0
7.3,0,12,37,55,0,1,0,0,1
8,0,7,44,57,0,1,1,0,0
22.2,1,12,26,44,0,1,0,1,0
3.65,0,11,16,33,0,0,0,0,0
20.55,0,12,33,51,0,1,0,0,0
5.71,1,12,16,34,1,1,0,1,0
7,1,7,42,55,0,1,0,1,0
3.75,0,12,9,27,0,0,0,0,0
4.5,0,11,14,31,0,1,1,0,0
9.56,0,12,23,41,0,1,0,0,0
5.75,0,6,45,57,0,1,1,1,0
9.36,0,12,8,26,0,1,0,1,0
6.5,0,10,30,46,0,1,0,0,0
3.35,0,12,8,26,1,1,0,1,0
4.75,0,12,8,26,0,1,0,0,0
8.9,0,14,13,33,0,0,0,0,0
4,0,12,46,64,1,0,1,0,0
4.7,0,8,19,33,0,1,0,0,0
5,0,17,1,24,1,0,1,0,0
9.25,0,12,19,37,0,0,0,1,0
10.67,0,12,36,54,0,0,0,0,0
7.61,0,12,20,38,0,1,1,0,1
10,1,12,35,53,0,1,0,0,1
7.5,0,12,3,21,0,0,0,0,0
12.2,0,14,10,30,0,1,1,1,0
3.35,0,12,0,18,0,0,0,0,0
11,1,14,14,34,0,1,1,1,0
12,0,12,14,32,0,1,0,1,0
4.85,0,9,16,31,1,1,0,1,0
4.3,0,13,8,27,0,0,1,0,1
6,0,7,15,28,1,1,1,1,0
15,0,16,12,34,0,1,0,1,0
4.85,0,10,13,29,0,0,1,0,0
9,1,8,33,47,0,1,0,0,0
